File,No_drones,No_packages,Total_time,Avg_speed,Dist_drone,Working_time_drones,Avg_time_package,Avg_packages_drone,Avg_dist_traveled
logfile_2022_11_15-20_47_43.log,1,100,1238.17,192.82,[238743.4],['1238.17'],12.38,100.00,238743.40
logfile_2022_11_15-20_52_48.log,2,100,576.43,193.26,"[111399.93, 109173.48]","['576.43', '564.91']",5.76,50.00,110286.70
logfile_2022_11_15-20_54_14.log,3,100,376.07,193.02,"[72589.1, 71066.55, 72095.83]","['376.07', '368.18', '373.51']",3.76,33.33,71917.16
logfile_2022_11_15-20_55_21.log,4,100,298.80,191.30,"[57159.75, 56093.06, 56205.12, 55543.01]","['298.80', '293.22', '293.81', '290.35']",2.99,25.00,56250.24
logfile_2022_11_15-20_56_20.log,5,100,218.10,194.07,"[42112.62, 39604.82, 41058.14, 41587.61, 42327.16]","['216.99', '204.07', '211.56', '214.29', '218.10']",2.18,20.00,41338.07
logfile_2022_11_15-20_57_15.log,6,100,188.67,193.05,"[35376.3, 33648.09, 35369.69, 35646.84, 36309.75, 36422.41]","['183.25', '174.30', '183.21', '184.65', '188.08', '188.67']",1.89,16.67,35462.18
logfile_2022_11_15-20_58_03.log,7,100,181.03,195.48,"[34090.87, 33510.2, 33048.93, 31988.91, 34940.8, 33325.14, 35388.11]","['174.40', '171.43', '169.07', '163.64', '178.75', '170.48', '181.03']",1.81,14.29,33756.14
logfile_2022_11_15-20_58_49.log,8,100,153.70,197.57,"[27635.57, 28442.24, 30366.75, 30173.86, 27352.8, 27598.86, 29815.49, 28760.53]","['139.88', '143.96', '153.70', '152.72', '138.45', '139.69', '150.91', '145.57']",1.54,12.50,28768.26
logfile_2022_11_15-20_59_30.log,9,100,131.87,194.50,"[22680.77, 25113.2, 25647.44, 23831.05, 25102.11, 24902.95, 23737.85, 23038.06, 22889.65]","['116.61', '129.12', '131.87', '122.53', '129.06', '128.04', '122.05', '118.45', '117.69']",1.32,11.11,24104.79
logfile_2022_11_15-21_00_23.log,10,100,126.70,192.93,"[24444.53, 24179.82, 23804.26, 20760.38, 22548.51, 21397.42, 21843.67, 23828.67, 21398.39, 20995.55]","['126.70', '125.33', '123.38', '107.60', '116.87', '110.91', '113.22', '123.51', '110.91', '108.82']",1.27,10.00,22520.12
