number_of_tasks,number_of_drones,drone_speed,truck_speed,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
1.0,1.0,50.0,50.0,1,1,141.2,21.67,3060.23,141.2,1.0,3060.23,2522.63,2522.63,0.5
51.0,1.0,50.0,50.0,1,51,4272.0,40.43,172700.78,83.76,51.0,172700.78,106784.85,106784.85,0.5
101.0,1.0,50.0,50.0,1,101,8341.97,41.27,344239.3,82.59,101.0,344239.3,204108.56,204108.56,0.5
151.0,1.0,50.0,50.0,1,151,12122.23,41.61,504437.99,80.28,151.0,504437.99,293745.5,293745.5,0.5
201.0,1.0,50.0,50.0,1,201,15595.67,41.77,651401.34,77.59,201.0,651401.34,376131.54,376131.54,0.5
251.0,1.0,50.0,50.0,1,251,19910.3,41.87,833676.42,79.32,251.0,833676.42,480681.24,480681.24,0.5
301.0,1.0,50.0,50.0,1,301,24494.47,41.96,1027686.71,81.38,301.0,1027686.71,591957.89,591957.89,0.5
351.0,1.0,50.0,50.0,1,351,28332.4,42.02,1190462.18,80.72,351.0,1190462.18,679528.18,679528.18,0.5
1.0,11.0,50.0,50.0,11,1,141.2,21.67,3060.23,141.2,0.09,278.2,229.33,229.33,0.5
51.0,11.0,50.0,50.0,11,51,648.23,34.58,212301.87,12.71,4.64,19300.17,14568.222727272723,14568.222727272723,0.5
101.0,11.0,50.0,50.0,11,101,1020.0,34.7,372578.92,10.1,9.18,33870.81,23006.25454545455,23006.25454545455,0.5
151.0,11.0,50.0,50.0,11,151,1378.03,35.73,520761.61,9.13,13.73,47341.96,30740.83545454545,30740.83545454545,0.5
201.0,11.0,50.0,50.0,11,201,1692.9,36.92,667838.5,8.42,18.27,60712.59,38100.27272727273,38100.27272727273,0.5
251.0,11.0,50.0,50.0,11,251,2066.97,38.42,849594.8,8.23,22.82,77235.89,47499.29454545455,47499.29454545455,0.5
301.0,11.0,50.0,50.0,11,301,2488.77,38.39,1042570.89,8.27,27.36,94779.17,57624.61818181817,57624.61818181817,0.5
351.0,11.0,50.0,50.0,11,351,2826.27,39.34,1206393.2,8.05,31.91,109672.11,65518.30818181818,65518.30818181818,0.5
1.0,21.0,50.0,50.0,21,1,141.2,21.67,3060.23,141.2,0.05,145.73,120.1252380952381,120.1252380952381,0.5
51.0,21.0,50.0,50.0,21,51,547.8,31.59,284698.46,10.74,2.43,13557.07,11168.272857142856,11168.272857142856,0.5
101.0,21.0,50.0,50.0,21,101,692.3,33.45,414437.3599999999,6.85,4.81,19735.11,14749.613809523811,14749.613809523811,0.5
151.0,21.0,50.0,50.0,21,151,874.87,33.78,554767.37,5.79,7.19,26417.49,18580.13095238096,18580.13095238096,0.5
201.0,21.0,50.0,50.0,21,201,1038.13,33.51,694224.2200000001,5.16,9.57,33058.3,22324.77,22324.77,0.5
251.0,21.0,50.0,50.0,21,251,1245.27,35.5,873759.8500000002,4.96,11.95,41607.61,27264.8780952381,27264.8780952381,0.5
301.0,21.0,50.0,50.0,21,301,1461.93,37.46,1068233.9999999998,4.86,14.33,50868.29,32525.547142857136,32525.547142857136,0.5
351.0,21.0,50.0,50.0,21,351,1629.53,36.98,1228774.3199999998,4.64,16.71,58513.06,36532.53380952381,36532.53380952381,0.5
1.0,31.0,50.0,50.0,31,1,141.2,21.67,3060.23,141.2,0.03,98.72,81.37516129032258,81.37516129032258,0.5
51.0,31.0,50.0,50.0,31,51,477.47,41.01,417923.52,9.36,1.65,13481.4,9923.410967741936,9923.410967741936,0.5
101.0,31.0,50.0,50.0,31,101,574.67,34.9,479689.07000000007,5.69,3.26,15473.84,12123.41870967742,12123.41870967742,0.5
151.0,31.0,50.0,50.0,31,151,700.93,36.67,599061.48,4.64,4.87,19324.56,14388.383548387095,14388.383548387095,0.5
201.0,31.0,50.0,50.0,31,201,803.87,32.82,735614.62,4.0,6.48,23729.5,16973.861612903223,16973.861612903223,0.5
251.0,31.0,50.0,50.0,31,251,938.93,34.48,909953.62,3.74,8.1,29353.34,20171.991290322578,20171.991290322578,0.5
301.0,31.0,50.0,50.0,31,301,1084.7,36.28,1101854.08,3.6,9.71,35543.68,23699.129032258064,23699.129032258064,0.5
351.0,31.0,50.0,50.0,31,351,1214.33,36.15,1260515.2399999998,3.46,11.32,40661.78,26428.84903225807,26428.84903225807,0.5
1.0,41.0,50.0,50.0,41,1,141.2,21.67,3060.23,141.2,0.02,74.64,61.52756097560976,61.52756097560976,0.5
51.0,41.0,50.0,50.0,41,51,476.1,48.45,531172.51,9.34,1.24,12955.43,8749.011707317071,8749.011707317071,0.5
101.0,41.0,50.0,50.0,41,101,549.5,40.06,562118.1,5.44,2.46,13710.2,11104.0656097561,11104.0656097561,0.5
151.0,41.0,50.0,50.0,41,151,602.73,36.6,656568.92,3.99,3.68,16013.88,12378.527804878047,12378.527804878047,0.5
201.0,41.0,50.0,50.0,41,201,689.63,32.75,780742.7200000001,3.43,4.9,19042.51,14203.74512195122,14203.74512195122,0.5
251.0,41.0,50.0,50.0,41,251,790.63,34.99,957207.62,3.15,6.12,23346.53,16632.48731707317,16632.48731707317,0.5
301.0,41.0,50.0,50.0,41,301,899.33,35.12,1141687.85,2.99,7.34,27846.05,19255.275609756103,19255.275609756103,0.5
351.0,41.0,50.0,50.0,41,351,995.87,36.06,1300320.68,2.84,8.56,31715.14,21311.36463414634,21311.36463414634,0.5
1.0,1.0,100.0,50.0,1,1,27.3,112.1,3060.23,27.3,1.0,3060.23,695.42,695.42,0.5
51.0,1.0,100.0,50.0,1,51,1862.63,94.35,175734.24,36.52,51.0,175734.24,55884.58,55884.58,0.5
101.0,1.0,100.0,50.0,1,101,3673.53,94.31,346444.97,36.37,101.0,346444.97,107290.83,107290.83,0.5
151.0,1.0,100.0,50.0,1,151,5369.93,94.33,506551.48,35.56,151.0,506551.48,155151.44,155151.44,0.5
201.0,1.0,100.0,50.0,1,201,6919.07,94.41,653205.21,34.42,201.0,653205.21,198834.4,198834.4,0.5
251.0,1.0,100.0,50.0,1,251,8840.53,94.48,835221.7,35.22,251.0,835221.7,254134.23,254134.23,0.5
301.0,1.0,100.0,50.0,1,301,10884.13,94.56,1029232.0,36.16,301.0,1029232.0,313228.68,313228.68,0.5
351.0,1.0,100.0,50.0,1,351,12595.37,94.63,1191953.86,35.88,351.0,1191953.86,360037.91,360037.91,0.5
1.0,11.0,100.0,50.0,11,1,27.3,112.1,3060.23,27.3,0.09,278.2,63.22,63.22,0.5
51.0,11.0,100.0,50.0,11,51,336.7,108.23,359556.59,6.6,4.64,32686.96,9877.12181818182,9877.12181818182,0.5
101.0,11.0,100.0,50.0,11,101,428.7,97.36,445340.89,4.24,9.18,40485.54,12516.015454545452,12516.015454545452,0.5
151.0,11.0,100.0,50.0,11,151,576.33,92.81,575945.62,3.82,13.73,52358.69,16257.116363636364,16257.116363636364,0.5
201.0,11.0,100.0,50.0,11,201,718.1,93.25,718385.5099999999,3.57,18.27,65307.77,20263.49909090909,20263.49909090909,0.5
251.0,11.0,100.0,50.0,11,251,889.0,93.55,899214.74,3.54,22.82,81746.79,25216.94636363636,25216.94636363636,0.5
301.0,11.0,100.0,50.0,11,301,1075.2,93.14,1089849.55,3.57,27.36,99077.23,30558.208181818187,30558.208181818187,0.5
351.0,11.0,100.0,50.0,11,351,1229.03,93.18,1247269.51,3.5,31.91,113388.14,34756.92,34756.92,0.5
1.0,21.0,100.0,50.0,21,1,27.3,112.1,3060.23,27.3,0.05,145.73,33.11523809523809,33.11523809523809,0.5
51.0,21.0,100.0,50.0,21,51,270.4,111.03,483100.08,5.3,2.43,23004.77,7119.036666666668,7119.036666666668,0.5
101.0,21.0,100.0,50.0,21,101,335.0,111.29,681972.05,3.32,4.81,32474.86,9772.331904761904,9772.331904761904,0.5
151.0,21.0,100.0,50.0,21,151,375.8,102.84,755616.3399999999,2.49,7.19,35981.73,10754.818095238095,10754.818095238095,0.5
201.0,21.0,100.0,50.0,21,201,439.23,96.97,832355.3799999999,2.19,9.57,39635.97,12253.279047619048,12253.279047619048,0.5
251.0,21.0,100.0,50.0,21,251,523.67,93.14,993422.18,2.09,11.95,47305.82,14655.153809523814,14655.153809523814,0.5
301.0,21.0,100.0,50.0,21,301,621.23,93.66,1178732.2200000002,2.06,14.33,56130.11,17377.74047619048,17377.74047619048,0.5
351.0,21.0,100.0,50.0,21,351,697.27,93.71,1333605.4499999995,1.99,16.71,63505.02,19540.35142857143,19540.35142857143,0.5
1.0,31.0,100.0,50.0,31,1,27.3,112.1,3060.23,27.3,0.03,98.72,22.43290322580645,22.43290322580645,0.5
51.0,31.0,100.0,50.0,31,51,221.1,116.31,539210.71,4.34,1.65,17393.89,5375.311612903226,5375.311612903226,0.5
101.0,31.0,100.0,50.0,31,101,295.9,112.38,829571.3199999998,2.93,3.26,26760.37,8144.905483870969,8144.905483870969,0.5
151.0,31.0,100.0,50.0,31,151,331.6,106.91,964340.55,2.2,4.87,31107.76,9201.681612903229,9201.681612903229,0.5
201.0,31.0,100.0,50.0,31,201,360.5,107.07,1070721.63,1.79,6.48,34539.41,10342.638387096777,10342.638387096777,0.5
251.0,31.0,100.0,50.0,31,251,401.3,99.59,1146342.33,1.6,8.1,36978.78,11300.49870967742,11300.49870967742,0.5
301.0,31.0,100.0,50.0,31,301,462.1,95.75,1294717.33,1.54,9.71,41765.08,12852.448064516127,12852.448064516127,0.5
351.0,31.0,100.0,50.0,31,351,511.23,95.53,1434976.3099999998,1.46,11.32,46289.56,14215.876451612903,14215.876451612903,0.5
1.0,41.0,100.0,50.0,41,1,27.3,112.1,3060.23,27.3,0.02,74.64,16.961463414634146,16.961463414634146,0.5
51.0,41.0,100.0,50.0,41,51,210.9,114.53,575297.0999999999,4.14,1.24,14031.64,4366.184146341463,4366.184146341463,0.5
101.0,41.0,100.0,50.0,41,101,263.6,112.08,923754.3600000005,2.61,2.46,22530.59,6945.581219512197,6945.581219512197,0.5
151.0,41.0,100.0,50.0,41,151,297.6,110.33,1112685.13,1.97,3.68,27138.66,8104.023658536586,8104.023658536586,0.5
201.0,41.0,100.0,50.0,41,201,328.2,111.71,1267852.2100000002,1.63,4.9,30923.22,9200.900975609758,9200.900975609758,0.5
251.0,41.0,100.0,50.0,41,251,363.9,101.64,1386965.1299999997,1.45,6.12,33828.42,10050.506585365853,10050.506585365853,0.5
301.0,41.0,100.0,50.0,41,301,391.1,100.53,1486302.2199999995,1.3,7.34,36251.27,10937.65463414634,10937.65463414634,0.5
351.0,41.0,100.0,50.0,41,351,422.53,95.71,1570969.7599999998,1.2,8.56,38316.34,11695.235121951218,11695.235121951218,0.5
1.0,1.0,150.0,50.0,1,1,22.2,137.85,3060.23,22.2,1.0,3060.23,742.44,742.44,0.5
51.0,1.0,150.0,50.0,1,51,1224.13,146.08,178826.4,24.0,51.0,178826.4,47554.86,47554.86,0.5
101.0,1.0,150.0,50.0,1,101,2369.0,146.43,346900.66,23.46,101.0,346900.66,89905.12,89905.12,0.5
151.0,1.0,150.0,50.0,1,151,3452.9,146.79,506842.13,22.87,151.0,506842.13,129839.45,129839.45,0.5
201.0,1.0,150.0,50.0,1,201,4453.8,146.95,654474.92,22.16,201.0,654474.92,166808.48,166808.48,0.5
251.0,1.0,150.0,50.0,1,251,5690.7,147.07,836923.91,22.67,251.0,836923.91,213139.06,213139.06,0.5
