number_of_drones,fixed_package_weight,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
1,100,1.0,90.0,1517.73,194.42,295072.58,16.86,90.0,295072.58,60579.72,60579.72,0.5
2,100,2.0,90.0,770.93,193.99,298147.47,8.57,45.0,149073.73,30667.19,30667.19,0.5
3,100,3.0,90.0,528.9,194.87,304877.05,5.88,30.0,101625.68,21024.91333333333,21024.91333333333,0.5
4,100,4.0,90.0,405.03,192.26,307133.1,4.5,22.5,76783.27,16063.96,16063.96,0.5
5,100,5.0,90.0,333.07,189.1,309809.55,3.7,18.0,61961.91,13120.814000000002,13120.814000000002,0.5
6,100,6.0,90.0,285.27,197.61,316075.16000000003,3.17,15.0,52679.19,11162.925,11162.925,0.5
7,100,7.0,90.0,249.67,187.59,322733.87,2.77,12.86,46104.84,9771.128571428571,9771.128571428571,0.5
8,100,8.0,90.0,225.2,189.9,327583.6,2.5,11.25,40947.95,8671.217499999999,8671.217499999999,0.5
9,100,9.0,90.0,205.4,188.55,332476.96,2.28,10.0,36941.88,7860.98,7860.98,0.5
10,100,10.0,90.0,190.63,187.09,340958.25,2.12,9.0,34095.82,7264.833,7264.833,0.5
11,100,11.0,90.0,177.43,190.65,343782.19,1.97,8.18,31252.93,6726.688181818183,6726.688181818183,0.5
12,100,12.0,90.0,167.3,182.97,351213.72,1.86,7.5,29267.81,6257.250833333333,6257.250833333333,0.5
13,100,13.0,90.0,155.87,186.15,355390.9900000001,1.73,6.92,27337.77,5961.313846153847,5961.313846153847,0.5
14,100,14.0,90.0,148.4,185.54,360957.64,1.65,6.43,25782.69,5608.846428571429,5608.846428571429,0.5
15,100,15.0,90.0,141.57,182.63,370612.69,1.57,6.0,24707.51,5361.214666666667,5361.214666666667,0.5
16,100,16.0,90.0,137.37,185.61,378953.42,1.53,5.62,23684.59,5134.8150000000005,5134.8150000000005,0.5
17,100,17.0,90.0,132.37,183.37,384929.83,1.47,5.29,22642.93,4937.914117647058,4937.914117647058,0.5
18,100,18.0,90.0,128.2,184.1,391200.2899999999,1.42,5.0,21733.35,4772.214444444445,4772.214444444445,0.5
19,100,19.0,90.0,124.3,187.62,397819.33,1.38,4.74,20937.86,4567.155263157893,4567.155263157893,0.5
20,100,20.0,90.0,122.13,183.03,404507.93000000005,1.36,4.5,20225.4,4443.880500000001,4443.880500000001,0.5
1,400,1.0,90.0,1517.73,194.42,295072.58,16.86,90.0,295072.58,65476.27,65476.27,0.5
2,400,2.0,90.0,770.93,193.99,298147.47,8.57,45.0,149073.73,33144.05,33144.05,0.5
3,400,3.0,90.0,528.9,194.87,304877.05,5.88,30.0,101625.68,22719.556666666667,22719.556666666667,0.5
4,400,4.0,90.0,405.03,192.26,307133.1,4.5,22.5,76783.27,17348.585,17348.585,0.5
5,400,5.0,90.0,333.07,189.1,309809.55,3.7,18.0,61961.91,14160.77,14160.77,0.5
6,400,6.0,90.0,285.27,197.61,316075.16000000003,3.17,15.0,52679.19,12050.933333333332,12050.933333333332,0.5
7,400,7.0,90.0,249.67,187.59,322733.87,2.77,12.86,46104.84,10549.481428571427,10549.481428571427,0.5
8,400,8.0,90.0,225.2,189.9,327583.6,2.5,11.25,40947.95,9364.61125,9364.61125,0.5
9,400,9.0,90.0,205.4,188.55,332476.96,2.28,10.0,36941.88,8488.564444444442,8488.564444444442,0.5
10,400,10.0,90.0,190.63,187.09,340958.25,2.12,9.0,34095.82,7846.545,7846.545,0.5
11,400,11.0,90.0,177.43,190.65,343782.19,1.97,8.18,31252.93,7259.132727272728,7259.132727272728,0.5
12,400,12.0,90.0,167.3,182.97,351213.72,1.86,7.5,29267.81,6757.153333333333,6757.153333333333,0.5
13,400,13.0,90.0,155.87,186.15,355390.9900000001,1.73,6.92,27337.77,6428.299999999998,6428.299999999998,0.5
14,400,14.0,90.0,148.4,185.54,360957.64,1.65,6.43,25782.69,6050.192142857142,6050.192142857142,0.5
15,400,15.0,90.0,141.57,182.63,370612.69,1.57,6.0,24707.51,5786.034,5786.034,0.5
16,400,16.0,90.0,137.37,185.61,378953.42,1.53,5.62,23684.59,5542.703750000001,5542.703750000001,0.5
17,400,17.0,90.0,132.37,183.37,384929.83,1.47,5.29,22642.93,5329.059411764706,5329.059411764706,0.5
18,400,18.0,90.0,128.2,184.1,391200.2899999999,1.42,5.0,21733.35,5148.523888888889,5148.523888888889,0.5
19,400,19.0,90.0,124.3,187.62,397819.33,1.38,4.74,20937.86,4931.267894736842,4931.267894736842,0.5
20,400,20.0,90.0,122.13,183.03,404507.93000000005,1.36,4.5,20225.4,4796.7425,4796.7425,0.5
1,700,1.0,90.0,1517.73,194.42,295072.58,16.86,90.0,295072.58,70656.18,70656.18,0.5
2,700,2.0,90.0,770.93,193.99,298147.47,8.57,45.0,149073.73,35764.244999999995,35764.244999999995,0.5
3,700,3.0,90.0,528.9,194.87,304877.05,5.88,30.0,101625.68,24512.27,24512.27,0.5
4,700,4.0,90.0,405.03,192.26,307133.1,4.5,22.5,76783.27,18707.5475,18707.5475,0.5
5,700,5.0,90.0,333.07,189.1,309809.55,3.7,18.0,61961.91,15260.909999999998,15260.909999999998,0.5
6,700,6.0,90.0,285.27,197.61,316075.16000000003,3.17,15.0,52679.19,12990.328333333331,12990.328333333331,0.5
7,700,7.0,90.0,249.67,187.59,322733.87,2.77,12.86,46104.84,11372.877142857144,11372.877142857144,0.5
8,700,8.0,90.0,225.2,189.9,327583.6,2.5,11.25,40947.95,10098.13125,10098.13125,0.5
9,700,9.0,90.0,205.4,188.55,332476.96,2.28,10.0,36941.88,9152.461111111112,9152.461111111112,0.5
10,700,10.0,90.0,190.63,187.09,340958.25,2.12,9.0,34095.82,8461.92,8461.92,0.5
11,700,11.0,90.0,177.43,190.65,343782.19,1.97,8.18,31252.93,7822.390909090909,7822.390909090909,0.5
12,700,12.0,90.0,167.3,182.97,351213.72,1.86,7.5,29267.81,7285.988333333332,7285.988333333332,0.5
