number_of_drones,customer_density,moving_truck,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Energy_consumption,Avg_power,Costmer_density
1,0.1,0,1,50,1510.53,196.6,296967.08,30.21,50.0,296967.08,,,0.1
2,0.1,0,2,50,762.9,197.32,296967.09,15.26,25.0,148483.54,,,0.1
3,0.1,0,3,50,517.17,196.6,296967.09,10.34,16.67,98989.03,,,0.1
4,0.1,0,4,50,393.2,198.63,296967.07,7.86,12.5,74241.77,,,0.1
5,0.1,0,5,50,314.23,197.29,296967.09,6.28,10.0,59393.42,,,0.1
6,0.1,0,6,50,275.43,196.51,296967.09,5.51,8.33,49494.51,,,0.1
7,0.1,0,7,50,241.5,197.69,296967.09,4.83,7.14,42423.87,,,0.1
8,0.1,0,8,50,211.07,200.14,296967.08,4.22,6.25,37120.88,,,0.1
9,0.1,0,9,50,187.03,199.24,296967.08,3.74,5.56,32996.34,,,0.1
10,0.1,0,10,50,165.93,199.01,296967.08,3.32,5.0,29696.71,,,0.1
11,0.1,0,11,50,157.77,199.76,296967.09,3.16,4.55,26997.01,,,0.1
12,0.1,0,12,50,150.37,198.09,296967.08,3.01,4.17,24747.26,,,0.1
13,0.1,0,13,50,132.6,197.81,296967.08,2.65,3.85,22843.62,,,0.1
14,0.1,0,14,50,129.17,200.63,296967.09,2.58,3.57,21211.94,,,0.1
15,0.1,0,15,50,125.03,200.18,296967.08,2.5,3.33,19797.81,,,0.1
16,0.1,0,16,50,116.73,203.57,296967.09,2.33,3.12,18560.44,,,0.1
17,0.1,0,17,50,105.37,200.02,296967.1,2.11,2.94,17468.65,,,0.1
18,0.1,0,18,50,102.9,201.01,296967.0900000001,2.06,2.78,16498.17,,,0.1
19,0.1,0,19,50,102.83,201.14,296967.08,2.06,2.63,15629.85,,,0.1
20,0.1,0,20,50,100.27,198.01,296967.08,2.01,2.5,14848.35,,,0.1
21,0.1,0,21,50,99.43,199.67,296967.09,1.99,2.38,14141.29,,,0.1
22,0.1,0,22,50,96.87,199.43,296967.09,1.94,2.27,13498.5,,,0.1
23,0.1,0,23,50,93.5,200.84,296967.07,1.87,2.17,12911.61,,,0.1
24,0.1,0,24,50,89.4,200.02,296967.08,1.79,2.08,12373.63,,,0.1
25,0.1,0,25,50,74.1,199.02,296967.09,1.48,2.0,11878.68,,,0.1
26,0.1,0,26,50,74.0,199.29,296967.11000000004,1.48,1.92,11421.81,,,0.1
27,0.1,0,27,50,73.97,199.38,296967.11000000004,1.48,1.85,10998.78,,,0.1
28,0.1,0,28,50,73.7,200.58,296967.1100000001,1.47,1.79,10605.97,,,0.1
29,0.1,0,29,50,73.63,200.77,296967.09,1.47,1.72,10240.24,,,0.1
30,0.1,0,30,50,73.6,200.86,296967.08,1.47,1.67,9898.9,,,0.1
31,0.1,0,31,50,72.9,202.0,296967.08,1.46,1.61,9579.58,,,0.1
