number_of_drones,moving_truck,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
1,0,1,100,997.73,195.38,194942.02,9.98,100.0,194942.02,51123.56,51123.56,0.5
2,0,2,100,504.93,195.18,194942.02,5.05,50.0,97471.01,25561.78,25561.78,0.5
3,0,3,100,337.8,194.93,194942.02,3.38,33.33,64980.67,17041.186666666665,17041.186666666665,0.5
4,0,4,100,257.13,195.02,194942.02,2.57,25.0,48735.51,12780.89,12780.89,0.5
5,0,5,100,205.27,195.61,194942.03,2.05,20.0,38988.41,10224.712,10224.712,0.5
6,0,6,100,175.5,194.59,194942.03000000003,1.75,16.67,32490.34,8520.596666666666,8520.596666666666,0.5
7,0,7,100,148.43,196.74,194942.01,1.48,14.29,27848.86,7303.364285714286,7303.364285714286,0.5
8,0,8,100,135.03,193.09,194942.01000000004,1.35,12.5,24367.75,6390.445000000001,6390.445000000001,0.5
9,0,9,100,117.83,197.19,194942.04,1.18,11.11,21660.23,5680.394444444445,5680.394444444445,0.5
10,0,10,100,108.8,195.74,194942.02,1.09,10.0,19494.2,5112.355999999999,5112.355999999999,0.5
1,1,1,100,664.6,191.64,127366.35,6.65,100.0,127366.35,34151.16,34151.16,0.5
2,1,2,100,338.7,189.6,128102.88,3.39,50.0,64051.44,17322.965,17322.965,0.5
3,1,3,100,230.6,188.16,129191.31,2.31,33.33,43063.77,11703.38,11703.38,0.5
4,1,4,100,176.1,186.56,129433.38,1.76,25.0,32358.34,8847.220000000001,8847.220000000001,0.5
5,1,5,100,144.93,184.21,130975.06,1.45,20.0,26195.01,7200.067999999999,7200.067999999999,0.5
6,1,6,100,122.67,184.76,131347.40000000002,1.23,16.67,21891.23,6100.221666666667,6100.221666666667,0.5
7,1,7,100,108.43,182.45,131519.33,1.08,14.29,18788.48,5247.227142857143,5247.227142857143,0.5
8,1,8,100,95.4,180.13,133976.42,0.95,12.5,16747.05,4723.1525,4723.1525,0.5
9,1,9,100,87.6,182.07,136624.53999999998,0.88,11.11,15180.5,4240.136666666666,4240.136666666666,0.5
10,1,10,100,80.63,184.62,139601.5,0.81,10.0,13960.15,3885.465,3885.465,0.5
