number_of_tasks,number_of_drones,No_drones,No_packages,Total_time,Avg_speed,Dist_tot,Avg_time_package,Avg_packages_drone,Avg_dist_traveled,Avg_Energy_consumption,Avg_power,Costmer_density
1,1,1,1,15.13,202.22,3060.23,15.13,1.0,3060.23,712.21,712.21,0.5
50,1,1,50,885.03,193.41,171172.3,17.7,50.0,171172.3,46940.85,46940.85,0.5
100,1,1,100,1787.47,194.14,347024.65,17.87,100.0,347024.65,92915.97,92915.97,0.5
150,1,1,150,2607.13,195.05,508510.89,17.38,150.0,508510.89,134815.39,134815.39,0.5
200,1,1,200,3360.53,195.23,656084.02,16.8,200.0,656084.02,173216.85,173216.85,0.5
250,1,1,250,4303.27,195.52,841372.73,17.21,250.0,841372.73,221864.84,221864.84,0.5
300,1,1,300,5294.43,195.7,1036128.94,17.65,300.0,1036128.94,273326.53,273326.53,0.5
1,2,2,1,15.13,202.22,3060.23,15.13,0.5,1530.12,356.105,356.105,0.5
50,2,2,50,459.13,191.28,175078.37,9.18,25.0,87539.18,24230.29,24230.29,0.5
100,2,2,100,908.53,192.15,348541.3,9.09,50.0,174270.65,47097.475,47097.475,0.5
150,2,2,150,1318.13,194.0,509596.63,8.79,75.0,254798.32,67987.815,67987.815,0.5
200,2,2,200,1694.0,193.72,656291.01,8.47,100.0,328145.51,87104.56,87104.56,0.5
250,2,2,250,2163.63,194.96,841579.71,8.65,125.0,420789.85,111329.19,111329.19,0.5
300,2,2,300,2657.87,195.21,1036335.93,8.86,150.0,518167.96,137050.3,137050.3,0.5
1,3,3,1,15.13,202.22,3060.23,15.13,0.33,1020.08,237.4033333333333,237.4033333333333,0.5
50,3,3,50,322.43,188.15,181393.03,6.45,16.67,60464.34,16790.32,16790.32,0.5
100,3,3,100,616.33,192.2,352178.26,6.16,33.33,117392.75,31805.373333333333,31805.373333333333,0.5
150,3,3,150,890.77,194.05,513177.19000000006,5.94,50.0,171059.06,45811.05666666667,45811.05666666667,0.5
200,3,3,200,1141.8,193.11,658867.65,5.71,66.67,219622.55,58545.170000000006,58545.170000000006,0.5
250,3,3,250,1452.4,193.65,842833.26,5.81,83.33,280944.42,74652.5,74652.5,0.5
300,3,3,300,1782.33,194.47,1038640.01,5.94,100.0,346213.34,91811.29,91811.29,0.5
1,4,4,1,15.13,202.22,3060.23,15.13,0.25,765.06,178.0525,178.0525,0.5
50,4,4,50,254.2,185.63,186398.05,5.08,12.5,46599.51,13061.9875,13061.9875,0.5
100,4,4,100,471.8,191.28,355470.35,4.72,25.0,88867.59,24100.105,24100.105,0.5
150,4,4,150,676.17,192.73,514264.06,4.51,37.5,128566.01,34493.98,34493.98,0.5
200,4,4,200,860.83,192.54,660319.53,4.3,50.0,165079.88,44131.5425,44131.5425,0.5
250,4,4,250,1096.17,193.57,845380.66,4.38,62.5,211345.17,56203.78749999999,56203.78749999999,0.5
300,4,4,300,1344.77,193.89,1040603.38,4.48,75.0,260150.85,69101.8425,69101.8425,0.5
1,5,5,1,15.13,202.22,3060.23,15.13,0.2,612.05,142.442,142.442,0.5
50,5,5,50,212.5,188.6,190846.67,4.25,10.0,38169.33,10778.708,10778.708,0.5
100,5,5,100,385.23,190.66,359521.19999999995,3.85,20.0,71904.24,19691.894000000004,19691.894000000004,0.5
150,5,5,150,544.73,190.9,514669.65,3.63,30.0,102933.93,27829.408000000003,27829.408000000003,0.5
200,5,5,200,698.2,191.66,664968.99,3.49,40.0,132993.8,35640.462,35640.462,0.5
250,5,5,250,885.03,192.23,849739.4299999999,3.54,50.0,169947.89,45308.636,45308.636,0.5
300,5,5,300,1080.43,193.45,1042319.51,3.6,60.0,208463.9,55524.822,55524.822,0.5
1,6,6,1,15.13,202.22,3060.23,15.13,0.17,510.04,118.70166666666668,118.70166666666668,0.5
50,6,6,50,183.37,180.38,194008.39,3.67,8.33,32334.73,9217.85,9217.85,0.5
100,6,6,100,327.8,187.41,362357.4,3.28,16.67,60392.9,16661.608333333334,16661.608333333334,0.5
150,6,6,150,461.37,188.67,517463.41,3.08,25.0,86243.9,23404.825,23404.825,0.5
200,6,6,200,589.73,191.74,666950.0499999999,2.95,33.33,111158.34,29927.373333333333,29927.373333333333,0.5
250,6,6,250,743.6,192.9,852017.87,2.97,41.67,142002.98,37964.265,37964.265,0.5
300,6,6,300,908.97,192.66,1046138.55,3.03,50.0,174356.42,46548.58833333334,46548.58833333334,0.5
1,7,7,1,15.13,202.22,3060.23,15.13,0.14,437.18,101.74428571428572,101.74428571428572,0.5
50,7,7,50,161.33,184.52,200612.43,3.23,7.14,28658.92,8123.075714285714,8123.075714285714,0.5
100,7,7,100,285.4,187.77,366153.1,2.85,14.29,52307.59,14408.95,14408.95,0.5
150,7,7,150,400.1,188.37,518228.44000000006,2.67,21.43,74032.63,20223.107142857138,20223.107142857138,0.5
200,7,7,200,508.03,192.09,666222.79,2.54,28.57,95174.68,25717.82285714286,25717.82285714286,0.5
250,7,7,250,641.43,191.5,852814.9400000001,2.57,35.71,121830.71,32668.221428571425,32668.221428571425,0.5
300,7,7,300,785.2,194.25,1050212.38,2.62,42.86,150030.34,40079.5,40079.5,0.5
1,8,8,1,15.13,202.22,3060.23,15.13,0.12,382.53,89.02625,89.02625,0.5
50,8,8,50,145.9,183.2,206180.44,2.92,6.25,25772.56,7380.37125,7380.37125,0.5
100,8,8,100,256.93,191.09,374097.29,2.57,12.5,46762.16,12881.3375,12881.3375,0.5
150,8,8,150,355.63,189.14,525875.6799999999,2.37,18.75,65734.46,17943.57375,17943.57375,0.5
200,8,8,200,449.4,191.5,670926.62,2.25,25.0,83865.83,22660.6575,22660.6575,0.5
250,8,8,250,566.83,192.08,856379.96,2.27,31.25,107047.49,28782.36,28782.36,0.5
300,8,8,300,690.2,191.87,1050283.38,2.3,37.5,131285.42,35163.90375,35163.90375,0.5
1,9,9,1,15.13,202.22,3060.23,15.13,0.11,340.03,79.13444444444445,79.13444444444445,0.5
50,9,9,50,136.43,184.38,213177.52,2.73,5.56,23686.39,6792.555555555557,6792.555555555557,0.5
100,9,9,100,232.93,187.19,377644.14,2.33,11.11,41960.46,11700.884444444444,11700.884444444444,0.5
150,9,9,150,320.13,189.68,528458.16,2.13,16.67,58717.57,16078.085555555555,16078.085555555555,0.5
200,9,9,200,404.47,190.01,673569.0800000001,2.02,22.22,74841.01,20258.544444444444,20258.544444444444,0.5
250,9,9,250,508.5,189.97,859921.5999999999,2.03,27.78,95546.84,25753.414444444443,25753.414444444443,0.5
300,9,9,300,618.0,191.59,1055187.81,2.06,33.33,117243.09,31381.41,31381.41,0.5
1,10,10,1,15.13,202.22,3060.23,15.13,0.1,306.02,71.221,71.221,0.5
50,10,10,50,127.6,186.96,217573.73,2.55,5.0,21757.37,6273.987,6273.987,0.5
100,10,10,100,213.7,189.65,380943.14,2.14,10.0,38094.31,10614.910999999998,10614.910999999998,0.5
150,10,10,150,291.93,186.79,534845.62,1.95,15.0,53484.56,14674.294999999998,14674.294999999998,0.5
200,10,10,200,367.57,187.22,677073.6799999999,1.84,20.0,67707.37,18445.265000000003,18445.265000000003,0.5
250,10,10,250,463.57,190.99,865137.2500000001,1.85,25.0,86513.73,23340.357,23340.357,0.5
300,10,10,300,560.9,191.76,1057297.5,1.87,30.0,105729.75,28399.382,28399.382,0.5
1,11,11,1,15.13,202.22,3060.23,15.13,0.09,278.2,64.74636363636364,64.74636363636364,0.5
50,11,11,50,123.27,179.24,224527.74,2.47,4.55,20411.61,5905.7236363636375,5905.7236363636375,0.5
100,11,11,100,197.53,186.5,388524.38,1.98,9.09,35320.4,9854.74909090909,9854.74909090909,0.5
150,11,11,150,269.4,188.41,539401.54,1.8,13.64,49036.5,13462.89,13462.89,0.5
200,11,11,200,336.17,187.51,680550.86,1.68,18.18,61868.26,16893.124545454542,16893.124545454542,0.5
250,11,11,250,422.97,190.66,864625.71,1.69,22.73,78602.34,21310.72636363636,21310.72636363636,0.5
300,11,11,300,513.37,189.31,1057061.01,1.71,27.27,96096.46,25929.930909090905,25929.930909090905,0.5
1,12,12,1,15.13,202.22,3060.23,15.13,0.08,255.02,59.35083333333333,59.35083333333333,0.5
50,12,12,50,118.23,175.34,230395.98000000004,2.36,4.17,19199.67,5570.638333333333,5570.638333333333,0.5
100,12,12,100,186.03,193.28,394770.46,1.86,8.33,32897.54,9184.4,9184.4,0.5
150,12,12,150,250.97,184.8,540660.91,1.67,12.5,45055.08,12474.84083333333,12474.84083333333,0.5
200,12,12,200,312.93,188.0,685633.4299999999,1.56,16.67,57136.12,15651.653333333334,15651.653333333334,0.5
250,12,12,250,390.03,187.89,867177.05,1.56,20.83,72264.75,19603.13666666667,19603.13666666667,0.5
300,12,12,300,475.2,193.62,1064658.25,1.58,25.0,88721.52,23949.643333333337,23949.643333333337,0.5
1,13,13,1,15.13,202.22,3060.23,15.13,0.08,235.4,54.785384615384615,54.785384615384615,0.5
50,13,13,50,116.7,188.96,240116.23,2.33,3.85,18470.48,5339.4400000000005,5339.4400000000005,0.5
100,13,13,100,175.73,184.58,401069.38,1.76,7.69,30851.49,8631.443076923075,8631.443076923075,0.5
150,13,13,150,234.73,187.58,546135.3900000001,1.56,11.54,42010.41,11669.093846153846,11669.093846153846,0.5
200,13,13,200,291.9,191.55,691735.62,1.46,15.38,53210.43,14568.462307692304,14568.462307692304,0.5
250,13,13,250,363.63,192.8,875057.82,1.45,19.23,67312.14,18290.973846153847,18290.973846153847,0.5
300,13,13,300,441.63,190.81,1068938.56,1.47,23.08,82226.04,22237.91076923077,22237.91076923077,0.5
